0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,Gesture
5.725,2.1,2.425,2.9,15.0,24.325,5.125,8.0,361.0,118.0,145.0,160.0,1071.0,1604.0,308.0,511.0,18.0,13.0,16.0,11.0,20.0,19.0,11.0,17.0,-0.39606505583935486,-0.29638662464571325,-0.3834104855829717,-0.4077803713772739,-0.10589071151024797,-0.16408420624683012,-0.30275130945594736,-0.12844283378351015,-0.10407774597879238,-0.27003834269497284,-0.24030102613448,-0.031750153244147095,-0.06506201619175613,-0.06126429735416967,-0.25119794649091837,-0.14467531715174922,-0.6121006797205965,-0.3745001385130243,-0.2927351984328325,-0.318598606584304,-0.49015752630935905,-0.32713005498594516,-0.11212396896308109,-0.2101831679037585,-0.28680995548790916,-0.10970616660484116,-0.17066755600408828,-0.34298560724206634,-0.33085121647976307,-0.13735275539997305,-0.29835109265118986,-0.35769853073781915,3
3.875,2.45,2.95,3.6,9.975,21.5,5.975,6.775,218.0,136.0,152.0,169.0,624.0,1218.0,329.0,443.0,14.0,14.0,9.0,12.0,11.0,14.0,12.0,16.0,-0.1731139750804741,-0.11839517753634653,-0.3001766486363098,0.007957918855101252,0.05206258519520853,-0.2722486751181675,-0.16213554701716457,-0.3038283251711945,0.13374091709659056,-0.4277877222591972,-0.09084036259741474,-0.3176753230242895,0.1415514610984387,-0.27802396244400684,-0.09467550575128801,-0.2749855362911454,-0.3948207000394618,-0.3879677595542906,-0.2704625046631516,-0.36591261386337504,-0.10352580245789206,-0.22590766790831077,-0.09368039318124806,-0.24306094610546075,-0.26916611369861515,-0.16390405145092068,-0.3254260627205643,-0.31263749518539463,-0.30432530055317714,-0.1543347499754848,-0.3261968470593329,-0.2763723936860148,3
6.475,1.925,2.675,4.05,10.3,26.525,5.55,7.525,398.0,112.0,146.0,227.0,708.0,1589.0,320.0,530.0,15.0,9.0,12.0,19.0,20.0,19.0,19.0,21.0,-0.4493743352187903,-0.3830447115399482,-0.2670046136461371,-0.2505404836901799,-0.2717119646011931,-0.3230205872021231,-0.42978770058107174,-0.4176130422363902,-0.1438312532227097,-0.43709560564727323,-0.2868148193926119,-0.31194922173246353,-0.1123687452495149,-0.2465209187613083,0.014667538915072397,-0.24106030396645897,-0.35044006410613787,-0.02426038723509446,0.257075479185883,-0.21721718632507167,-0.2984801576572806,-0.31003199649440966,-0.1164913165548308,-0.2747430436611523,-0.23785560415008306,-0.3194945324358301,-0.23538681794991564,-0.26246088458436817,-0.5377513150740316,-0.286190210812382,-0.41389522702024273,-0.2296487758830604,3
5.15,1.775,2.5,2.875,10.575,20.9,4.9,5.6,337.0,112.0,139.0,164.0,682.0,1147.0,353.0,334.0,16.0,14.0,12.0,15.0,16.0,17.0,15.0,13.0,-0.3998646503569717,-0.29297027183264296,-0.26863975402933365,-0.25110264106964825,-0.45148291981127575,-0.5837721335682822,-0.44932068388600604,-0.3294251701722544,-0.33185374736842743,-0.3019684790714973,-0.4296741134131303,-0.2546215066530388,-0.3219408246173826,-0.3863103098227294,-0.24803795772889348,-0.20438619460304983,-0.34893216446745745,-0.07462288680741087,0.04150170664110469,-0.10758684602180758,-0.35150079976876825,-0.275140985535069,-0.1133568370378162,-0.3321396477756648,-0.5672801497975353,-0.1139465507173413,-0.1122672584177376,-0.33547051016177437,-0.08435541284297374,-0.21886047692963403,-0.0776276021358495,-0.1284376048871009,3
5.5,1.575,2.2,2.275,11.6,23.175,3.95,6.6,343.0,95.0,128.0,132.0,769.0,1408.0,233.0,409.0,18.0,12.0,14.0,14.0,18.0,19.0,16.0,16.0,-0.3457761966487732,-0.16743740208793348,-0.15008578666000041,-0.09551682831316512,-0.4156955460034024,-0.4967897371439392,-0.27228502796109416,0.0057876752066535865,-0.10531026436896102,-0.4778820307499871,-0.04775251870456842,-0.1299380418890479,-0.1827060212600937,-0.21818391176331323,-0.07799241289734984,-0.13067469804260154,-0.6040502405187661,-0.34761725785047454,0.12918844081910177,0.09196098038234421,-0.5748252399672973,-0.3599969128729792,-0.23521874001394436,-0.15770560243183096,-0.47996168876406553,-0.392456233426792,-0.24873518394342517,-0.22131932906967847,-0.3736090244396774,-0.24439136925665986,-0.16764873438121464,0.14159239185109135,3
5.9,2.05,2.575,2.875,9.3,16.675,4.325,6.65,398.0,100.0,132.0,137.0,564.0,987.0,229.0,424.0,18.0,8.0,8.0,11.0,14.0,15.0,12.0,16.0,-0.5532141710905363,-0.05144118661702999,-0.07198862686075294,-0.2644530613838622,0.1463826014722558,0.33386385878553093,-0.43288829510073185,-0.2300579913295038,0.09064012034680133,0.033125516868584844,-0.1659075738715891,-0.35953059129809256,0.15829921516076653,0.1789062742363264,-0.4990881602312484,-0.13936384145411793,-0.452147626557528,-0.5740116408058483,-0.3371278472432332,-0.28425799128032764,-0.20590026773329811,-0.417913872218553,-0.0588612408723183,-0.1516287469686097,-0.14054650015469614,-0.0718347239812467,-0.20899965484275124,-0.2167632406261285,-0.49753673858356223,-0.2926598869910338,-0.281785271358035,0.021290817390428308,3
6.65,2.175,2.95,3.375,9.575,23.25,5.1,8.275,424.0,119.0,144.0,176.0,663.0,1350.0,298.0,502.0,19.0,12.0,12.0,16.0,19.0,17.0,15.0,17.0,-0.5488546028689191,-0.32067404673337013,-0.08469642272858757,-0.18680465388526646,0.013190532543383643,-0.0018866237135464988,-0.09249331301859129,-0.1492122184816817,0.08316930908234046,-0.14915287850816394,-0.17137466714260458,-0.08020050082789731,-0.012375251061036834,-0.03507022147480894,-0.08398644803012613,-0.25699610558291897,-0.31271234134701104,-0.053549920418430166,0.3201069286893289,-0.05763359474216292,-0.3383334297876115,-0.1665787339005139,-0.023877528530596905,-0.07261121161656155,-0.2311069429571883,-0.14483463975479588,0.11502367409592847,-0.20669557280540618,-0.29747024314966247,-0.46160288945720784,-0.14090269153491983,-0.3459350308893967,3
6.275,1.8,2.25,2.675,14.15,28.925,4.475,8.35,416.0,117.0,126.0,169.0,1008.0,1890.0,304.0,549.0,23.0,13.0,11.0,15.0,22.0,22.0,16.0,15.0,-0.445791826856686,-0.03164353219496824,-0.1585354147546939,-0.11821028424601632,-0.5341286939285647,-0.4389165352408218,-0.2689519279707915,-0.23283293825203336,-0.3518134315355483,-0.36004678624929626,-0.26701621997446184,-0.06481812191325925,-0.48962244484110845,-0.30154365876747985,-0.16598885911893677,-0.00011045352781900783,-0.9649036971020061,-0.733750958985691,-0.5792563230974019,-0.32169472299565083,-0.6243779284169937,-0.303479956591312,-0.06829329210153183,-0.19830767991968168,-0.5488362859600343,-0.516454591860626,-0.06158955593045068,-0.22655274278180626,-0.30805836502504974,-0.2534786869491219,0.007317789817415929,-0.23139976116726563,3
4.95,1.625,1.9,2.325,12.375,22.45,4.375,7.5,341.0,104.0,112.0,153.0,853.0,1409.0,256.0,456.0,14.0,17.0,13.0,17.0,21.0,19.0,15.0,18.0,-0.7044173842833586,-0.6074710323688357,-0.42870676851289535,-0.26155340106878566,-0.3106685769350688,0.16960922173810186,-0.10284562848323091,-0.16605756840708072,-0.22479376585833233,-0.040567218157368905,-0.4277812370272633,-0.17616469284215597,-0.3894094958276645,0.045665732182859915,-0.15271554305775423,-0.1742903418372482,-0.5346771492793457,-0.0868407200854954,-0.2509150787516199,-0.0756371411872776,-0.48017594197065333,-0.28108467504104356,-0.2752875863935581,-0.07363171628683822,-0.23500216917547714,-0.3677043734969371,-0.08555883878247021,-0.36473437694310723,-0.3742423215559526,-0.0804200221992084,-0.22391269253163615,-0.1687704550899882,3
4.925,1.975,2.4,3.2,13.6,20.6,5.0,8.625,314.0,95.0,124.0,169.0,863.0,1355.0,231.0,546.0,18.0,14.0,11.0,15.0,18.0,22.0,12.0,21.0,-0.30510673716005,-0.27589065311260685,0.0035332066351599287,-0.241522193390374,-0.039610275018476734,-0.19787628626513362,-0.19822234009725248,-0.14178670040902314,-0.2092591953985925,-0.1501539840890685,-0.08857435642966004,-0.32239970177201815,-0.1279874272538008,-0.1448480201576962,-0.14322793707955864,-0.30473880801983316,-0.6016965436132917,-0.26619312697375946,-0.1392588333489372,-0.08412192183964813,-0.5335714393852792,-0.2822485149690364,0.011226539314381834,-0.09751639047987445,0.08298905894140901,-0.20179175610950573,-0.20365894156845218,-0.27651346591048337,-0.4487261211153109,-0.19041024348587382,-0.17646457396407955,-0.2265517057233483,3
